CRASH_NUM,Coll,Int,Wea,TrWay,PSL,Align,TCD,CF
2016_10586,Front-to-Front,Not an Intersection,Rain,Two-Way Undivided,35 MPH,Curve,No Controls,Negotiating a Curve
2016_10616,Angle,T-Intersection,Clear,Two-Way Undivided,45 MPH,Straight,Stop Sign,Turning
2016_10628,Front-to-Front,Not an Intersection,Clear,Two-Way Undivided,35 MPH,Curve,No Controls,Negotiating a Curve
2016_10636,Front-to-Front,Not an Intersection,Clear,Two-Way Undivided,45 MPH,Curve,No Controls,Negotiating a Curve
2016_10646,Angle,T-Intersection,Clear,Two-Way Undivided,45 MPH,Straight,No Controls,Accelerating/Decelerating
2016_10649,Angle,Four-Way Intersection,Clear,Two-Way Undivided,35 MPH,Straight,Stop Sign,Going Straight
2016_10684,Angle,Four-Way Intersection,Clear,Two-Way Undivided,45 MPH,Straight,Traffic control signal,Turning
2016_10734,Front-to-Front,Not an Intersection,Clear,Two-Way Undivided,35 MPH,Straight,No Controls,Going Straight
2016_10751,Angle,Four-Way Intersection,Clear,Two-Way Undivided,45 MPH,Straight,No Controls,Going Straight
2016_10753,Angle,Four-Way Intersection,Clear,Two-Way Undivided,45 MPH,Straight,Stop Sign,Going Straight
2016_10753,Angle,Four-Way Intersection,Clear,Two-Way Undivided,45 MPH,Straight,No Controls,Going Straight
2016_10764,Angle,Four-Way Intersection,Clear,Two-Way Undivided,35 MPH,Straight,Traffic control signal,Going Straight
2016_10764,Angle,Four-Way Intersection,Clear,Two-Way Undivided,35 MPH,Straight,Traffic control signal,Going Straight
2016_10773,Front-to-Front,Not an Intersection,Clear,Two-Way Undivided,40 MPH,Curve,No Controls,Negotiating a Curve
2016_10851,Angle,Four-Way Intersection,Clear,Two-Way Undivided,35 MPH,Straight,Stop Sign,Going Straight
2016_10851,Angle,Four-Way Intersection,Clear,Two-Way Undivided,35 MPH,Straight,No Controls,Going Straight
2016_10854,Angle,Y-Intersection,Rain,Two-Way Undivided,35 MPH,Straight,Stop Sign,Going Straight
2016_10890,Angle,T-Intersection,Cloudy,Two-Way Undivided,35 MPH,Straight,Stop Sign,Turning
2016_10893,Angle,Four-Way Intersection,Clear,Two-Way Undivided,30 MPH,Straight,No Controls,Going Straight
2016_10907,Angle,Not an Intersection,Clear,Driveway Access,No Statutory Limit,Driveway Access,No Controls,Going Straight
2016_10914,Front-to-Front,T-Intersection,Cloudy,Two-Way Undivided,45 MPH,Straight,No Controls,Going Straight
2016_10918,Front-to-Rear,Four-Way Intersection,Clear,Two-Way Undivided,35 MPH,Straight,Traffic control signal,Accelerating/Decelerating
2016_10918,Front-to-Rear,Four-Way Intersection,Clear,Two-Way Undivided,35 MPH,Straight,Traffic control signal,Others
2016_10920,Front-to-Front,Not an Intersection,Rain,Two-Way Undivided,45 MPH,Straight,No Controls,Going Straight
2016_10938,Front-to-Front,Not an Intersection,Clear,Two-Way Undivided,40 MPH,Curve,No Controls,Negotiating a Curve
2016_10945,Angle,Not an Intersection,Clear,Two-Way Undivided,45 MPH,Curve,No Controls,Negotiating a Curve
2016_10945,Angle,Not an Intersection,Clear,Two-Way Undivided,45 MPH,Straight,No Controls,Going Straight
2016_10958,Angle,Four-Way Intersection,Cloudy,Two-Way Undivided,25 MPH,Straight,Traffic control signal,Going Straight
2016_10974,Front-to-Front,Not an Intersection,Rain,Two-Way Undivided,45 MPH,Straight,No Controls,Going Straight
2016_10976,Angle,T-Intersection,Clear,Two-Way Undivided,40 MPH,Straight,Traffic control signal,Turning
2016_10980,Angle,T-Intersection,Clear,Two-Way Undivided,25 MPH,Straight,Stop Sign,Turning
2016_10985,Front-to-Front,Not an Intersection,Clear,Two-Way Undivided,45 MPH,Straight,No Controls,Going Straight
2016_10985,Front-to-Front,Not an Intersection,Clear,Two-Way Undivided,45 MPH,Straight,No Controls,Going Straight
2016_20012,Angle,Four-Way Intersection,Cloudy,Two-Way Divided,35 MPH,Straight,Traffic control signal,Others
2016_20012,Angle,Four-Way Intersection,Cloudy,Two-Way Divided,35 MPH,Straight,Traffic control signal,Others
2016_20012,Angle,Four-Way Intersection,Cloudy,Two-Way Divided,35 MPH,Straight,Traffic control signal,Others
2016_20068,Front-to-Front,Not an Intersection,Clear,Two-Way Divided,45 MPH,Straight,No Controls,Going Straight
2016_20077,Angle,Not an Intersection,Clear,Two-Way Undivided,45 MPH,Curve,No Controls,Negotiating a Curve
2016_40013,Front-to-Rear,Not an Intersection,Clear,Two-Way Undivided,40 MPH,Straight,No Controls,Going Straight
2016_40013,Front-to-Rear,Not an Intersection,Clear,Two-Way Undivided,40 MPH,Straight,No Controls,Going Straight
2016_40028,Angle,Four-Way Intersection,Clear,Two-Way Divided,45 MPH,Straight,Traffic control signal,Going Straight
2016_40028,Angle,Four-Way Intersection,Clear,Two-Way Divided,45 MPH,Straight,Traffic control signal,Turning
2016_40033,Sideswipe,T-Intersection,Clear,Two-Way Divided,40 MPH,Straight,Traffic control signal,Turning
2016_40040,Sideswipe,Not an Intersection,Clear,Two-Way Undivided,35 MPH,Straight,No Controls,Going Straight
2016_40041,Front-to-Front,Four-Way Intersection,Clear,Two-Way Undivided,45 MPH,Straight,No Controls,Going Straight
2016_40046,Angle,Four-Way Intersection,Clear,Two-Way Undivided,35 MPH,Straight,Stop Sign,Going Straight
2016_40053,Angle,T-Intersection,Clear,Driveway Access,No Statutory Limit,Driveway Access,No Controls,Turning
2016_40055,Front-to-Rear,Four-Way Intersection,Clear,Two-Way Divided,40 MPH,Straight,Traffic control signal,Going Straight
2016_40065,Front-to-Front,Not an Intersection,Clear,Two-Way Undivided,45 MPH,Straight,No Controls,Going Straight
2016_40065,Front-to-Front,Not an Intersection,Clear,Two-Way Undivided,45 MPH,Straight,No Controls,Going Straight
2016_40075,Angle,Not an Intersection,Clear,Two-Way Undivided,45 MPH,Curve,No Controls,Negotiating a Curve
2016_40080,Angle,Four-Way Intersection,Clear,Two-Way Divided,45 MPH,Straight,Traffic control signal,Going Straight
2016_40089,Front-to-Front,Four-Way Intersection,Clear,Two-Way Undivided,45 MPH,Straight,Traffic control signal,Going Straight
2016_40100,Front-to-Front,Not an Intersection,Clear,Two-Way Divided,45 MPH,Straight,No Controls,Going Straight
2016_40112,Angle,Four-Way Intersection,Clear,Two-Way Divided,40 MPH,Straight,Traffic control signal,Turning
2016_40124,Angle,Four-Way Intersection,Clear,Two-Way Divided,45 MPH,Straight,Traffic control signal,Turning
2016_40124,Angle,Four-Way Intersection,Clear,Two-Way Divided,45 MPH,Straight,Traffic control signal,Going Straight
2016_40129,Angle,Four-Way Intersection,Clear,Two-Way Undivided,35 MPH,Straight,Traffic control signal,Going Straight
2016_40129,Angle,Four-Way Intersection,Clear,Two-Way Undivided,45 MPH,Straight,Traffic control signal,Others
2016_40135,Angle,Four-Way Intersection,Clear,Two-Way Undivided,40 MPH,Straight,Traffic control signal,Turning
2016_40139,Front-to-Rear,Not an Intersection,Clear,Two-Way Divided,45 MPH,Straight,No Controls,Going Straight
2016_40145,Front-to-Front,Not an Intersection,Clear,Two-Way Undivided,40 MPH,Straight,No Controls,Unknown
2016_40178,Angle,T-Intersection,Cloudy,Two-Way Divided,40 MPH,Straight,No Controls,Going Straight
2016_40178,Angle,T-Intersection,Cloudy,Two-Way Undivided,25 MPH,Straight,Stop Sign,Turning
2016_40200,Angle,Four-Way Intersection,Clear,Two-Way Undivided,45 MPH,Straight,Traffic control signal,Going Straight
2016_40208,Angle,T-Intersection,Clear,Two-Way Undivided,25 MPH,Straight,Stop Sign,Going Straight
2016_40210,Angle,T-Intersection,Clear,Two-Way Divided,45 MPH,Straight,Traffic control signal,Turning
2016_40236,Angle,Not an Intersection,Clear,Two-Way Undivided,35 MPH,Curve,No Controls,Negotiating a Curve
2016_40241,Angle,Four-Way Intersection,Clear,Two-Way Divided,25 MPH,Straight,Stop Sign,Turning
2016_40258,Angle,Four-Way Intersection,Clear,Two-Way Divided,30 MPH,Straight,Traffic control signal,Turning
2016_40268,Front-to-Rear,T-Intersection,Clear,Two-Way Undivided,30 MPH,Straight,No Controls,Going Straight
2016_40268,Front-to-Rear,T-Intersection,Clear,Two-Way Undivided,30 MPH,Straight,No Controls,Turning
2016_40269,Angle,T-Intersection,Cloudy,Two-Way Undivided,40 MPH,Straight,No Controls,Turning
2016_40272,Others,Not an Intersection,Clear,Two-Way Undivided,45 MPH,Straight,No Controls,Turning
2016_40302,Angle,T-Intersection,Clear,Driveway Access,No Statutory Limit,Driveway Access,No Controls,Going Straight
2016_40302,Angle,T-Intersection,Clear,Two-Way Undivided,35 MPH,Straight,No Controls,Going Straight
2016_40302,Angle,T-Intersection,Clear,Two-Way Undivided,35 MPH,Straight,No Controls,Going Straight
2016_40303,Angle,Four-Way Intersection,Clear,Two-Way Divided,45 MPH,Straight,Traffic control signal,Turning
2016_40324,Angle,Four-Way Intersection,Clear,Two-Way Undivided,45 MPH,Straight,Traffic control signal,Turning
2016_40340,Angle,Four-Way Intersection,Clear,Two-Way Undivided,40 MPH,Straight,Traffic control signal,Going Straight
2016_40340,Angle,Four-Way Intersection,Clear,Two-Way Undivided,40 MPH,Straight,Traffic control signal,Accelerating/Decelerating
2016_40346,Angle,Four-Way Intersection,Clear,Two-Way Undivided,40 MPH,Straight,Traffic control signal,Going Straight
2016_40346,Angle,Four-Way Intersection,Clear,Two-Way Undivided,40 MPH,Straight,Traffic control signal,Others
2016_40354,Sideswipe,Not an Intersection,Clear,Two-Way Undivided,40 MPH,Straight,No Controls,Going Straight
2016_40367,Angle,T-Intersection,Clear,Two-Way Divided,35 MPH,Straight,Traffic control signal,Turning
2016_40367,Angle,T-Intersection,Clear,Two-Way Divided,35 MPH,Curve,Traffic control signal,Negotiating a Curve
2016_40367,Angle,T-Intersection,Clear,Driveway Access,No Statutory Limit,Driveway Access,Traffic control signal,Others
2016_40370,Others,Four-Way Intersection,Clear,Two-Way Divided,35 MPH,Straight,Traffic control signal,Turning
2016_40379,Front-to-Rear,Four-Way Intersection,Cloudy,Two-Way Divided,40 MPH,Straight,Traffic control signal,Going Straight
2016_40384,Angle,Not an Intersection,Clear,Two-Way Undivided,40 MPH,Straight,No Controls,Turning
2016_40398,Angle,Four-Way Intersection,Clear,Two-Way Undivided,35 MPH,Straight,No Controls,Going Straight
2016_40400,Angle,Not an Intersection,Clear,Two-Way Undivided,40 MPH,Straight,No Controls,Turning
2016_40401,Front-to-Front,Not an Intersection,Clear,Two-Way Undivided,45 MPH,Straight,No Controls,Going Straight
2016_40407,Angle,Four-Way Intersection,Clear,Two-Way Undivided,45 MPH,Straight,Traffic control signal,Others
2016_40415,Sideswipe,Four-Way Intersection,Clear,Two-Way Undivided,40 MPH,Straight,Traffic control signal,Others
2016_40415,Sideswipe,Four-Way Intersection,Clear,Two-Way Undivided,40 MPH,Straight,Traffic control signal,Accelerating/Decelerating
2016_40419,Angle,Not an Intersection,Clear,Two-Way Divided,40 MPH,Straight,No Controls,Going Straight
2016_40423,Angle,Four-Way Intersection,Clear,Two-Way Undivided,25 MPH,Straight,Stop Sign,Going Straight
2016_40424,Angle,Four-Way Intersection,Clear,Two-Way Undivided,45 MPH,Straight,Traffic control signal,Going Straight
2016_40427,Front-to-Front,Four-Way Intersection,Clear,Two-Way Undivided,40 MPH,Straight,No Controls,Going Straight
2016_40439,Angle,Four-Way Intersection,Clear,Two-Way Divided,45 MPH,Straight,Traffic control signal,Going Straight
2016_40439,Angle,Four-Way Intersection,Clear,Two-Way Undivided,45 MPH,Straight,Traffic control signal,Going Straight
2016_40440,Angle,T-Intersection,Clear,Two-Way Divided,40 MPH,Straight,No Controls,Making a U-turn
2016_40444,Angle,Four-Way Intersection,Clear,Two-Way Divided,45 MPH,Straight,Traffic control signal,Going Straight
2016_40460,Front-to-Front,Not an Intersection,Cloudy,Two-Way Undivided,45 MPH,Straight,No Controls,Going Straight
2016_40466,Others,Four-Way Intersection,Clear,Two-Way Undivided,45 MPH,Straight,No Controls,Going Straight
2016_40470,Angle,Four-Way Intersection,Clear,Two-Way Divided,35 MPH,Straight,Traffic control signal,Going Straight
2016_40470,Angle,Four-Way Intersection,Clear,Two-Way Divided,45 MPH,Straight,Traffic control signal,Going Straight
2016_40485,Front-to-Rear,Four-Way Intersection,Cloudy,Two-Way Undivided,45 MPH,Straight,Stop Sign,Accelerating/Decelerating
2016_40490,Angle,Four-Way Intersection,Clear,Two-Way Divided,45 MPH,Straight,Traffic control signal,Going Straight
2016_40490,Angle,Four-Way Intersection,Clear,One-Way Trafficway,45 MPH,Straight,Traffic control signal,Going Straight
2016_40493,Angle,Not an Intersection,Clear,Two-Way Undivided,35 MPH,Straight,No Controls,Going Straight
2016_40496,Angle,Four-Way Intersection,Clear,Two-Way Divided,45 MPH,Straight,Traffic control signal,Going Straight
2016_40496,Angle,Four-Way Intersection,Clear,Two-Way Undivided,25 MPH,Straight,Traffic control signal,Going Straight
2016_40510,Angle,Four-Way Intersection,Cloudy,Two-Way Undivided,40 MPH,Straight,Traffic control signal,Going Straight
2016_40515,Front-to-Rear,Four-Way Intersection,Clear,Two-Way Undivided,45 MPH,Straight,Traffic control signal,Going Straight
2016_40515,Front-to-Rear,Four-Way Intersection,Clear,Two-Way Undivided,45 MPH,Straight,Traffic control signal,Accelerating/Decelerating
2016_40519,Angle,Four-Way Intersection,Clear,Two-Way Undivided,40 MPH,Straight,No Controls,Going Straight
2016_40520,Front-to-Rear,Not an Intersection,Clear,Two-Way Divided,45 MPH,Straight,No Controls,Going Straight
2016_40535,Others,Four-Way Intersection,Clear,Two-Way Divided,45 MPH,Straight,Traffic control signal,Turning
2016_40547,Front-to-Rear,Not an Intersection,Clear,Two-Way Divided,45 MPH,Curve,No Controls,Negotiating a Curve
2016_40561,Angle,Four-Way Intersection,Clear,Two-Way Undivided,45 MPH,Straight,Traffic control signal,Going Straight
2016_40562,Angle,Four-Way Intersection,Clear,Two-Way Undivided,45 MPH,Straight,Traffic control signal,Going Straight
2016_40562,Angle,Four-Way Intersection,Clear,Two-Way Undivided,45 MPH,Straight,Traffic control signal,Others
2016_40562,Angle,Four-Way Intersection,Clear,Two-Way Undivided,45 MPH,Straight,Traffic control signal,Others
2016_40563,Sideswipe,Four-Way Intersection,Clear,Two-Way Undivided,40 MPH,Straight,Traffic control signal,Going Straight
2016_40563,Sideswipe,Four-Way Intersection,Clear,Two-Way Undivided,35 MPH,Straight,Traffic control signal,Going Straight
2016_40567,Angle,Four-Way Intersection,Clear,Two-Way Divided,45 MPH,Straight,Traffic control signal,Turning
2016_40572,Angle,Four-Way Intersection,Cloudy,Two-Way Undivided,45 MPH,Straight,Traffic control signal,Turning
2016_40578,Sideswipe,T-Intersection,Clear,Two-Way Undivided,45 MPH,Curve,No Controls,Negotiating a Curve
2016_40578,Sideswipe,T-Intersection,Clear,Two-Way Undivided,45 MPH,Curve,No Controls,Negotiating a Curve
2016_40589,Front-to-Rear,Not an Intersection,Rain,Two-Way Undivided,35 MPH,Straight,No Controls,Going Straight
2016_40601,Angle,Four-Way Intersection,Clear,One-Way Trafficway,35 MPH,Straight,Traffic control signal,Turning
2016_40612,Front-to-Rear,Not an Intersection,Clear,Two-Way Divided,45 MPH,Straight,No Controls,Changing Lanes/Overtaking
2016_40616,Angle,Four-Way Intersection,Clear,Two-Way Divided,40 MPH,Straight,Traffic control signal,Going Straight
2016_40617,Angle,Four-Way Intersection,Clear,Two-Way Undivided,35 MPH,Straight,Traffic control signal,Going Straight
2016_40624,Angle,Four-Way Intersection,Clear,Two-Way Undivided,40 MPH,Straight,Traffic control signal,Turning
2016_40624,Angle,Four-Way Intersection,Clear,Two-Way Undivided,40 MPH,Straight,Traffic control signal,Others
2016_40634,Angle,Four-Way Intersection,Clear,Two-Way Divided,40 MPH,Straight,Traffic control signal,Going Straight
2016_40636,Sideswipe,Four-Way Intersection,Clear,Two-Way Divided,45 MPH,Straight,Traffic control signal,Changing Lanes/Overtaking
2016_40636,Sideswipe,Four-Way Intersection,Clear,Two-Way Divided,45 MPH,Straight,Traffic control signal,Going Straight
2016_40649,Front-to-Front,Not an Intersection,Clear,Two-Way Undivided,40 MPH,Straight,No Controls,Going Straight
2016_40649,Front-to-Front,Not an Intersection,Clear,Two-Way Undivided,40 MPH,Straight,No Controls,Going Straight
2016_40650,Angle,Four-Way Intersection,Cloudy,Two-Way Divided,40 MPH,Straight,Traffic control signal,Going Straight
2016_40653,Others,Four-Way Intersection,Clear,Two-Way Undivided,40 MPH,Straight,Traffic control signal,Turning
2016_40657,Angle,Four-Way Intersection,Clear,Two-Way Undivided,40 MPH,Straight,No Controls,Turning
2016_40660,Front-to-Rear,Not an Intersection,Clear,Two-Way Divided,45 MPH,Straight,No Controls,Going Straight
2016_40663,Front-to-Front,T-Intersection,Clear,Two-Way Undivided,35 MPH,Straight,No Controls,Going Straight
2016_40671,Front-to-Front,Not an Intersection,Clear,Two-Way Undivided,45 MPH,Straight,No Controls,Changing Lanes/Overtaking
2016_40674,Angle,T-Intersection,Clear,Two-Way Undivided,35 MPH,Straight,Stop Sign,Unknown
2016_40682,Front-to-Front,Not an Intersection,Clear,Two-Way Undivided,40 MPH,Straight,No Controls,Going Straight
2016_40682,Front-to-Front,Not an Intersection,Clear,Two-Way Undivided,40 MPH,Straight,No Controls,Going Straight
2016_40683,Angle,Four-Way Intersection,Rain,Two-Way Undivided,45 MPH,Straight,Traffic control signal,Others
2016_40684,Front-to-Rear,Not an Intersection,Clear,Two-Way Undivided,45 MPH,Straight,No Controls,Going Straight
2016_40688,Sideswipe,T-Intersection,Clear,Two-Way Undivided,45 MPH,Straight,No Controls,Going Straight
2016_40693,Angle,Four-Way Intersection,Clear,Two-Way Divided,45 MPH,Straight,No Controls,Turning
2016_40696,Angle,Four-Way Intersection,Clear,Two-Way Undivided,25 MPH,Straight,Traffic control signal,Going Straight
2016_40697,Front-to-Rear,Not an Intersection,Clear,Two-Way Divided,45 MPH,Straight,No Controls,Accelerating/Decelerating
2016_40699,Front-to-Front,Not an Intersection,Clear,Two-Way Undivided,35 MPH,Straight,No Controls,Going Straight
2016_40703,Angle,Four-Way Intersection,Clear,Two-Way Divided,40 MPH,Straight,Traffic control signal,Turning
2016_40713,Angle,Four-Way Intersection,Clear,Two-Way Divided,45 MPH,Straight,Traffic control signal,Turning
2016_40718,Angle,Four-Way Intersection,Clear,Two-Way Undivided,25 MPH,Straight,Stop Sign,Turning
2016_40731,Front-to-Rear,T-Intersection,Cloudy,Two-Way Undivided,45 MPH,Straight,Traffic control signal,Going Straight
2016_40731,Front-to-Rear,T-Intersection,Cloudy,Two-Way Undivided,45 MPH,Straight,Traffic control signal,Others
2016_40742,Angle,Four-Way Intersection,Clear,Two-Way Undivided,40 MPH,Straight,No Controls,Going Straight
2016_40745,Front-to-Front,"Five Point, or More",Clear,One-Way Trafficway,40 MPH,Curve,Traffic control signal,Turning
2016_40745,Front-to-Front,"Five Point, or More",Clear,Two-Way Divided,40 MPH,Straight,Traffic control signal,Others
2016_40745,Front-to-Front,"Five Point, or More",Clear,Two-Way Divided,40 MPH,Straight,Traffic control signal,Others
2016_40750,Sideswipe,Not an Intersection,Clear,Two-Way Undivided,35 MPH,Straight,No Controls,Going Straight
2016_40756,Angle,Four-Way Intersection,Clear,Two-Way Undivided,40 MPH,Straight,Traffic control signal,Going Straight
2016_40762,Angle,Not an Intersection,Clear,Driveway Access,No Statutory Limit,Driveway Access,Stop Sign,Going Straight
2016_40763,Sideswipe,Not an Intersection,Clear,Two-Way Divided,45 MPH,Curve,No Controls,Negotiating a Curve
2016_40783,Sideswipe,Not an Intersection,Clear,Two-Way Undivided,45 MPH,Straight,No Controls,Going Straight
2016_40784,Front-to-Rear,Not an Intersection,Clear,Two-Way Undivided,35 MPH,Straight,No Controls,Accelerating/Decelerating
2016_40794,Front-to-Rear,Not an Intersection,Clear,Two-Way Divided,40 MPH,Straight,No Controls,Going Straight
2016_40797,Angle,Four-Way Intersection,Clear,Two-Way Undivided,45 MPH,Straight,Traffic control signal,Turning
2016_40808,Front-to-Front,Not an Intersection,Clear,Two-Way Undivided,45 MPH,Straight,No Controls,Going Straight
2016_40814,Angle,Not an Intersection,Clear,Two-Way Undivided,45 MPH,Straight,No Controls,Turning
2016_40831,Angle,Four-Way Intersection,Cloudy,Two-Way Undivided,45 MPH,Straight,Traffic control signal,Turning
2016_40834,Angle,Not an Intersection,Cloudy,Two-Way Undivided,40 MPH,Straight,Traffic control signal,Turning
2016_40846,Front-to-Rear,Not an Intersection,Clear,Two-Way Undivided,45 MPH,Straight,No Controls,Going Straight
2016_40855,Angle,Four-Way Intersection,Clear,Two-Way Undivided,45 MPH,Straight,Traffic control signal,Going Straight
2016_40861,Others,Not an Intersection,Cloudy,Two-Way Undivided,40 MPH,Straight,No Controls,Turning
2016_40865,Angle,Not an Intersection,Clear,Two-Way Undivided,40 MPH,Straight,No Controls,Turning
2016_40870,Angle,T-Intersection,Clear,Two-Way Undivided,35 MPH,Straight,Traffic control signal,Turning
2016_40877,Angle,Four-Way Intersection,Clear,Two-Way Undivided,25 MPH,Straight,Traffic control signal,Turning
2016_50014,Angle,T-Intersection,Cloudy,Two-Way Undivided,40 MPH,Straight,No Controls,Going Straight
2016_50021,Angle,Not an Intersection,Clear,Two-Way Undivided,45 MPH,Curve,No Controls,Negotiating a Curve
2016_50021,Angle,Not an Intersection,Clear,Two-Way Undivided,45 MPH,Curve,No Controls,Negotiating a Curve
