CRASH_NUM,Coll,Int,Wea,TrWay,PSL,Align,TCD,CF
2017_370110,Angle,Not an Intersection,Clear,Two-Way Undivided,35 MPH,Straight,No Controls,Going Straight
2017_370116,Front-to-Front,Not an Intersection,Clear,Two-Way Undivided,45 MPH,Curve,No Controls,Negotiating a Curve
2017_370145,Angle,Four-Way Intersection,Cloudy,Two-Way Divided,35 MPH,Straight,No Controls,Going Straight
2017_370150,Angle,Four-Way Intersection,Clear,Two-Way Divided,35 MPH,Straight,Traffic control signal,Going Straight
2017_370166,Front-to-Front,Not an Intersection,Rain,Two-Way Undivided,45 MPH,Curve,No Controls,Negotiating a Curve
2017_370166,Front-to-Front,Not an Intersection,Rain,Two-Way Undivided,45 MPH,Curve,No Controls,Negotiating a Curve
2017_370171,Angle,T-Intersection,Clear,One-Way Trafficway,35 MPH,Straight,Stop Sign,Going Straight
2017_370175,Angle,Four-Way Intersection,Clear,Two-Way Divided,45 MPH,Straight,Traffic control signal,Turning
2017_370186,Angle,Four-Way Intersection,Clear,Two-Way Divided,45 MPH,Straight,Stop Sign,Others
2017_370199,Angle,T-Intersection,Clear,Two-Way Undivided,35 MPH,Straight,No Controls,Turning
2017_370206,Front-to-Front,Four-Way Intersection,Clear,Two-Way Undivided,45 MPH,Curve,No Controls,Turning
2017_370208,Angle,T-Intersection,Clear,Two-Way Divided,45 MPH,Straight,No Controls,Turning
2017_370208,Angle,T-Intersection,Clear,Two-Way Divided,45 MPH,Straight,No Controls,Others
2017_370210,Angle,Four-Way Intersection,Clear,Two-Way Divided,45 MPH,Straight,No Controls,Going Straight
2017_370211,Front-to-Front,Not an Intersection,Clear,Two-Way Undivided,45 MPH,Straight,No Controls,Going Straight
2017_370217,Angle,Four-Way Intersection,Clear,Two-Way Undivided,35 MPH,Straight,Traffic control signal,Going Straight
2017_370230,Sideswipe,Not an Intersection,Clear,Two-Way Undivided,45 MPH,Straight,No Controls,Going Straight
2017_370237,Sideswipe,Not an Intersection,Cloudy,Two-Way Undivided,45 MPH,Straight,No Controls,Going Straight
2017_370237,Sideswipe,Not an Intersection,Cloudy,Two-Way Undivided,45 MPH,Straight,No Controls,Going Straight
2017_370239,Angle,Not an Intersection,Cloudy,Two-Way Undivided,35 MPH,Curve,No Controls,Negotiating a Curve
2017_370239,Angle,Not an Intersection,Cloudy,Two-Way Undivided,35 MPH,Curve,No Controls,Negotiating a Curve
2017_370245,Sideswipe,Not an Intersection,Clear,Two-Way Undivided,35 MPH,Curve,No Controls,Negotiating a Curve
2017_370272,Angle,Four-Way Intersection,Clear,Two-Way Divided,45 MPH,Straight,Stop Sign,Going Straight
2017_370272,Angle,Four-Way Intersection,Clear,Two-Way Divided,45 MPH,Straight,No Controls,Going Straight
2017_370275,Front-to-Rear,Not an Intersection,Clear,Two-Way Divided,45 MPH,Straight,No Controls,Going Straight
2017_370300,Sideswipe,Not an Intersection,Clear,Two-Way Divided,45 MPH,Straight,No Controls,Going Straight
2017_370327,Angle,Not an Intersection,Clear,Two-Way Undivided,40 MPH,Straight,No Controls,Turning
2017_370331,Angle,T-Intersection,Clear,Two-Way Undivided,35 MPH,Straight,Stop Sign,Turning
2017_370334,Front-to-Front,Not an Intersection,Clear,Two-Way Undivided,35 MPH,Straight,No Controls,Going Straight
2017_370334,Front-to-Front,Not an Intersection,Clear,Two-Way Undivided,35 MPH,Straight,No Controls,Going Straight
2017_370341,Angle,Four-Way Intersection,Clear,Two-Way Undivided,35 MPH,Straight,Stop Sign,Going Straight
2017_370341,Angle,Four-Way Intersection,Clear,Two-Way Undivided,45 MPH,Straight,No Controls,Going Straight
2017_370345,Sideswipe,Not an Intersection,Clear,Two-Way Divided,35 MPH,Straight,No Controls,Going Straight
2017_370345,Sideswipe,Not an Intersection,Clear,Two-Way Divided,35 MPH,Straight,No Controls,Going Straight
2017_370369,Front-to-Rear,Not an Intersection,Clear,Two-Way Undivided,45 MPH,Straight,No Controls,Going Straight
2017_370369,Front-to-Rear,Not an Intersection,Clear,Two-Way Undivided,45 MPH,Straight,No Controls,Others
2017_370407,Angle,Four-Way Intersection,Clear,Two-Way Divided,45 MPH,Straight,Traffic control signal,Turning
2017_370410,Angle,Not an Intersection,Others,Entrance/Exit Ramp,35 MPH,Straight,Traffic control signal,Turning
2017_370418,Angle,Four-Way Intersection,Clear,Two-Way Divided,45 MPH,Straight,Traffic control signal,Going Straight
2017_370419,Sideswipe,Not an Intersection,Clear,Two-Way Undivided,45 MPH,Straight,No Controls,Going Straight
2017_370421,Angle,Four-Way Intersection,Cloudy,Two-Way Divided,25 MPH,Straight,Traffic control signal,Turning
2017_370427,Sideswipe,Not an Intersection,Clear,Two-Way Undivided,40 MPH,Straight,No Controls,Going Straight
2017_370427,Sideswipe,Not an Intersection,Clear,Two-Way Undivided,45 MPH,Straight,No Controls,Going Straight
2017_370441,Front-to-Front,T-Intersection,Cloudy,Two-Way Undivided,35 MPH,Curve,No Controls,Negotiating a Curve
2017_370443,Angle,Four-Way Intersection,Clear,Two-Way Divided,45 MPH,Straight,Traffic control signal,Going Straight
2017_370446,Angle,T-Intersection,Clear,Two-Way Undivided,45 MPH,Straight,No Controls,Going Straight
2017_370462,Angle,Four-Way Intersection,Clear,Two-Way Undivided,45 MPH,Straight,No Controls,Going Straight
2017_370462,Angle,Four-Way Intersection,Clear,Two-Way Undivided,45 MPH,Straight,No Controls,Going Straight
2017_370462,Angle,Four-Way Intersection,Clear,Two-Way Undivided,45 MPH,Straight,No Controls,Going Straight
2017_370469,Front-to-Front,Not an Intersection,Clear,Two-Way Undivided,35 MPH,Straight,No Controls,Going Straight
2017_370480,Front-to-Front,Not an Intersection,Clear,Two-Way Undivided,45 MPH,Straight,No Controls,Going Straight
2017_370492,Angle,Y-Intersection,Clear,Two-Way Undivided,45 MPH,Straight,Stop Sign,Turning
2017_370492,Angle,Y-Intersection,Clear,Two-Way Undivided,45 MPH,Curve,No Controls,Negotiating a Curve
2017_370501,Front-to-Front,Not an Intersection,Clear,Two-Way Undivided,45 MPH,Straight,No Controls,Going Straight
2017_370508,Angle,Four-Way Intersection,Clear,Two-Way Undivided,35 MPH,Straight,Traffic control signal,Others
2017_370518,Angle,Not an Intersection,Clear,Two-Way Undivided,35 MPH,Straight,No Controls,Going Straight
2017_370535,Front-to-Rear,Not an Intersection,Clear,Two-Way Undivided,35 MPH,Straight,No Controls,Others
2017_370535,Front-to-Rear,Not an Intersection,Clear,Two-Way Undivided,35 MPH,Straight,No Controls,Going Straight
2017_370545,Angle,T-Intersection,Clear,Two-Way Divided,45 MPH,Straight,Traffic control signal,Changing Lanes/Overtaking
2017_370545,Angle,T-Intersection,Clear,Two-Way Divided,45 MPH,Straight,Traffic control signal,Going Straight
2017_370547,Angle,Four-Way Intersection,Rain,Two-Way Divided,45 MPH,Straight,Traffic control signal,Going Straight
2017_370547,Angle,Four-Way Intersection,Rain,Two-Way Divided,45 MPH,Straight,Traffic control signal,Turning
2017_370571,Angle,Four-Way Intersection,Clear,Two-Way Undivided,45 MPH,Straight,No Controls,Going Straight
2017_370575,Front-to-Front,T-Intersection,Clear,Two-Way Undivided,25 MPH,Curve,No Controls,Turning
2017_370579,Front-to-Front,Four-Way Intersection,Cloudy,Two-Way Divided,45 MPH,Straight,No Controls,Going Straight
2017_370595,Front-to-Front,Not an Intersection,Cloudy,Two-Way Undivided,45 MPH,Straight,No Controls,Going Straight
2017_370597,Angle,Not an Intersection,Clear,Two-Way Undivided,35 MPH,Straight,No Controls,Going Straight
2017_370611,Angle,Not an Intersection,Clear,Two-Way Undivided,45 MPH,Straight,No Controls,Turning
2017_370614,Angle,Four-Way Intersection,Clear,Two-Way Divided,35 MPH,Straight,No Controls,Turning
2017_370616,Front-to-Front,Not an Intersection,Clear,Two-Way Undivided,45 MPH,Straight,No Controls,Going Straight
2017_370629,Front-to-Rear,Not an Intersection,Cloudy,Two-Way Undivided,45 MPH,Straight,No Controls,Others
2017_370629,Front-to-Rear,Not an Intersection,Cloudy,Two-Way Undivided,45 MPH,Straight,No Controls,Others
2017_370631,Front-to-Front,Not an Intersection,Clear,Two-Way Divided,45 MPH,Straight,No Controls,Going Straight
2017_370631,Front-to-Front,Not an Intersection,Clear,Two-Way Divided,45 MPH,Straight,No Controls,Going Straight
2017_370661,Angle,T-Intersection,Cloudy,Two-Way Undivided,40 MPH,Straight,No Controls,Turning
2017_370664,Angle,Four-Way Intersection,Cloudy,Two-Way Undivided,35 MPH,Straight,No Controls,Turning
2017_370664,Angle,Four-Way Intersection,Cloudy,Two-Way Undivided,35 MPH,Straight,No Controls,Going Straight
2017_370681,Angle,Four-Way Intersection,Clear,Two-Way Divided,45 MPH,Straight,Traffic control signal,Making a U-turn
2017_370689,Angle,Four-Way Intersection,Clear,Two-Way Divided,45 MPH,Straight,Unknown,Going Straight
2017_370706,Angle,T-Intersection,Clear,Two-Way Undivided,35 MPH,Straight,Stop Sign,Others
2017_370737,Front-to-Front,Not an Intersection,Clear,Two-Way Undivided,45 MPH,Straight,No Controls,Going Straight
2017_370744,Angle,Four-Way Intersection,Clear,Two-Way Undivided,45 MPH,Straight,No Controls,Going Straight
2017_370751,Front-to-Rear,Not an Intersection,Clear,Two-Way Undivided,45 MPH,Straight,No Controls,Going Straight
2017_370751,Front-to-Rear,Not an Intersection,Clear,Two-Way Undivided,45 MPH,Straight,No Controls,Going Straight
2017_370761,Angle,Four-Way Intersection,Clear,Two-Way Undivided,45 MPH,Straight,Traffic control signal,Going Straight
2017_370777,Sideswipe,T-Intersection,Clear,Two-Way Undivided,45 MPH,Straight,Traffic control signal,Going Straight
2017_370777,Sideswipe,T-Intersection,Clear,Two-Way Undivided,45 MPH,Straight,Traffic control signal,Going Straight
2017_370777,Sideswipe,T-Intersection,Clear,Two-Way Undivided,45 MPH,Straight,Traffic control signal,Going Straight
2017_370781,Angle,T-Intersection,Clear,Two-Way Undivided,45 MPH,Straight,Traffic control signal,Turning
2017_370806,Angle,Not an Intersection,Clear,Two-Way Undivided,45 MPH,Straight,No Controls,Turning
2017_370814,Angle,Four-Way Intersection,Clear,Two-Way Divided,35 MPH,Straight,No Controls,Going Straight
2017_370814,Angle,Four-Way Intersection,Clear,Two-Way Divided,35 MPH,Straight,No Controls,Going Straight
2017_370827,Angle,Four-Way Intersection,Cloudy,Two-Way Undivided,35 MPH,Straight,Traffic control signal,Going Straight
2017_370831,Front-to-Front,Not an Intersection,Clear,Two-Way Undivided,45 MPH,Straight,No Controls,Going Straight
2017_370891,Front-to-Front,Not an Intersection,Clear,Two-Way Divided,35 MPH,Straight,No Controls,Going Straight
2017_370892,Angle,Four-Way Intersection,Cloudy,Two-Way Divided,35 MPH,Straight,Traffic control signal,Going Straight
2017_370892,Angle,Four-Way Intersection,Cloudy,Two-Way Divided,35 MPH,Straight,Traffic control signal,Others
2017_370893,Angle,Not an Intersection,Clear,One-Way Trafficway,35 MPH,Straight,No Controls,Going Straight
2017_370895,Angle,Four-Way Intersection,Clear,Two-Way Undivided,45 MPH,Straight,Traffic control signal,Going Straight
2017_370895,Angle,Four-Way Intersection,Clear,Two-Way Undivided,45 MPH,Straight,Traffic control signal,Turning
2017_370895,Angle,Four-Way Intersection,Clear,Two-Way Undivided,45 MPH,Straight,Traffic control signal,Going Straight
2017_370905,Angle,Not an Intersection,Clear,Entrance/Exit Ramp,45 MPH,Straight,No Controls,Turning
2017_370905,Angle,Not an Intersection,Clear,Two-Way Divided,45 MPH,Straight,No Controls,Going Straight
2017_370931,Angle,Four-Way Intersection,Clear,Two-Way Divided,45 MPH,Straight,No Controls,Going Straight
2017_370951,Angle,Not an Intersection,Clear,Two-Way Undivided,45 MPH,Curve,No Controls,Negotiating a Curve
2017_370958,Angle,Four-Way Intersection,Clear,Two-Way Undivided,35 MPH,Straight,Traffic control signal,Going Straight
2017_370958,Angle,Four-Way Intersection,Clear,Two-Way Undivided,35 MPH,Straight,Traffic control signal,Others
2017_370966,Angle,Not an Intersection,Clear,Two-Way Undivided,40 MPH,Straight,No Controls,Turning
2017_370968,Angle,T-Intersection,Clear,Two-Way Divided,45 MPH,Unknown,No Controls,Turning
2017_370969,Angle,Not an Intersection,Clear,Two-Way Divided,45 MPH,Straight,No Controls,Turning
2017_370989,Front-to-Front,Not an Intersection,Clear,Two-Way Undivided,40 MPH,Straight,No Controls,Going Straight
2017_370989,Front-to-Front,Not an Intersection,Clear,Two-Way Undivided,40 MPH,Straight,No Controls,Going Straight
2017_371003,Angle,Four-Way Intersection,Clear,Two-Way Divided,35 MPH,Straight,No Controls,Going Straight
2017_371008,Angle,Four-Way Intersection,Rain,Two-Way Divided,45 MPH,Straight,No Controls,Going Straight
2017_371021,Front-to-Rear,Not an Intersection,Clear,Two-Way Undivided,45 MPH,Straight,No Controls,Going Straight
2017_371025,Front-to-Rear,Four-Way Intersection,Clear,Two-Way Undivided,45 MPH,Straight,No Controls,Accelerating/Decelerating
2017_371042,Angle,Not Reported,Clear,Two-Way Divided,45 MPH,Straight,Traffic control signal,Making a U-turn
2017_371049,Angle,Four-Way Intersection,Clear,Two-Way Divided,45 MPH,Straight,Traffic control signal,Turning
2017_371049,Angle,Four-Way Intersection,Clear,Two-Way Divided,45 MPH,Straight,Traffic control signal,Going Straight
2017_371054,Front-to-Front,Not an Intersection,Cloudy,Two-Way Undivided,45 MPH,Straight,No Controls,Going Straight
2017_371063,Angle,Four-Way Intersection,Clear,Two-Way Divided,45 MPH,Straight,Traffic control signal,Going Straight
2017_371063,Angle,Four-Way Intersection,Clear,Two-Way Divided,45 MPH,Straight,Traffic control signal,Going Straight
2017_371098,Angle,Four-Way Intersection,Clear,Two-Way Undivided,35 MPH,Straight,No Controls,Going Straight
2017_371098,Angle,Four-Way Intersection,Clear,Two-Way Undivided,35 MPH,Straight,No Controls,Going Straight
2017_371107,Angle,T-Intersection,Clear,Two-Way Undivided,35 MPH,Straight,Traffic control signal,Turning
2017_371109,Sideswipe,Not an Intersection,Cloudy,Two-Way Undivided,35 MPH,Straight,No Controls,Going Straight
2017_371109,Sideswipe,Not an Intersection,Cloudy,Two-Way Undivided,35 MPH,Straight,No Controls,Going Straight
2017_371123,Angle,Not an Intersection,Clear,Two-Way Undivided,45 MPH,Straight,No Controls,Going Straight
2017_371127,Angle,T-Intersection,Clear,Two-Way Undivided,25 MPH,Straight,Stop Sign,Turning
2017_371134,Angle,Not an Intersection,Clear,Two-Way Undivided,45 MPH,Straight,No Controls,Going Straight
2017_371145,Angle,Four-Way Intersection,Clear,Two-Way Divided,45 MPH,Straight,No Controls,Turning
2017_371154,Angle,Four-Way Intersection,Clear,Two-Way Undivided,45 MPH,Straight,Traffic control signal,Others
2017_371179,Front-to-Front,Not an Intersection,Clear,Two-Way Undivided,45 MPH,Curve,No Controls,Negotiating a Curve
2017_371184,Front-to-Front,Not an Intersection,Clear,Two-Way Divided,35 MPH,Straight,No Controls,Going Straight
2017_371184,Front-to-Front,Not an Intersection,Clear,Two-Way Divided,35 MPH,Straight,No Controls,Going Straight
2017_371187,Sideswipe,Not an Intersection,Clear,Two-Way Undivided,45 MPH,Straight,No Controls,Changing Lanes/Overtaking
2017_371187,Sideswipe,Not an Intersection,Clear,Two-Way Undivided,45 MPH,Straight,No Controls,Going Straight
2017_371187,Sideswipe,Not an Intersection,Clear,Two-Way Undivided,45 MPH,Straight,No Controls,Going Straight
2017_371191,Front-to-Front,Not an Intersection,Rain,Two-Way Divided,45 MPH,Straight,No Controls,Going Straight
2017_371199,Angle,Four-Way Intersection,Clear,Two-Way Undivided,45 MPH,Straight,Stop Sign,Others
2017_371199,Angle,Four-Way Intersection,Clear,Two-Way Undivided,45 MPH,Straight,No Controls,Going Straight
2017_371205,Angle,Four-Way Intersection,Clear,Two-Way Undivided,45 MPH,Straight,Stop Sign,Going Straight
2017_371205,Angle,Four-Way Intersection,Clear,Two-Way Undivided,45 MPH,Straight,No Controls,Going Straight
2017_371210,Angle,Four-Way Intersection,Clear,Two-Way Undivided,35 MPH,Straight,Stop Sign,Turning
2017_371221,Sideswipe,Not an Intersection,Clear,Two-Way Undivided,45 MPH,Straight,No Controls,Others
2017_371222,Angle,Four-Way Intersection,Clear,Two-Way Undivided,35 MPH,Straight,Stop Sign,Others
2017_371222,Angle,Four-Way Intersection,Clear,Two-Way Undivided,35 MPH,Straight,No Controls,Going Straight
2017_371249,Angle,Not an Intersection,Clear,Two-Way Divided,45 MPH,Straight,No Controls,Going Straight
2017_371250,Front-to-Front,Not an Intersection,Clear,Two-Way Undivided,45 MPH,Straight,No Controls,Going Straight
2017_371253,Front-to-Front,Not an Intersection,Clear,Two-Way Undivided,45 MPH,Straight,No Controls,Going Straight
2017_371255,Angle,Four-Way Intersection,Clear,Two-Way Divided,45 MPH,Straight,Traffic control signal,Turning
2017_371273,Front-to-Rear,Not an Intersection,Cloudy,Two-Way Undivided,45 MPH,Straight,No Controls,Going Straight
2017_371277,Angle,Four-Way Intersection,Clear,Two-Way Divided,45 MPH,Straight,Traffic control signal,Going Straight
2017_371278,Front-to-Rear,Four-Way Intersection,Clear,Two-Way Undivided,35 MPH,Straight,Traffic control signal,Going Straight
2017_371285,Angle,Four-Way Intersection,Cloudy,Two-Way Undivided,35 MPH,Straight,Stop Sign,Going Straight
2017_371310,Angle,Four-Way Intersection,Clear,Two-Way Undivided,45 MPH,Straight,Traffic control signal,Going Straight
2017_371310,Angle,Four-Way Intersection,Clear,Two-Way Undivided,45 MPH,Straight,Traffic control signal,Going Straight
2017_380032,Angle,Four-Way Intersection,Clear,Entrance/Exit Ramp,40 MPH,Straight,Traffic control signal,Turning
2017_380077,Front-to-Front,Not an Intersection,Not Reported,Two-Way Undivided,45 MPH,Curve,No Controls,Unknown
2017_380086,Angle,Four-Way Intersection,Clear,Two-Way Undivided,45 MPH,Straight,No Controls,Going Straight
2017_380086,Angle,Four-Way Intersection,Clear,Two-Way Undivided,35 MPH,Straight,Stop Sign,Going Straight
2017_380087,Angle,Four-Way Intersection,Clear,Two-Way Undivided,45 MPH,Straight,Stop Sign,Going Straight
2017_390017,Front-to-Front,Not an Intersection,Cloudy,Two-Way Divided,40 MPH,Straight,No Controls,Going Straight
2017_390024,Angle,Not an Intersection,Cloudy,Two-Way Undivided,45 MPH,Straight,No Controls,Going Straight
2017_390024,Angle,Not an Intersection,Cloudy,Two-Way Undivided,45 MPH,Straight,No Controls,Turning
2017_390025,Angle,Not an Intersection,Others,Two-Way Undivided,45 MPH,Straight,No Controls,Going Straight
2017_390028,Angle,Not an Intersection,Cloudy,Two-Way Divided,35 MPH,Straight,No Controls,Turning
2017_390054,Angle,T-Intersection,Cloudy,Two-Way Undivided,35 MPH,Straight,No Controls,Going Straight
2017_390069,Front-to-Front,Four-Way Intersection,Rain,Two-Way Undivided,35 MPH,Curve,Traffic control signal,Turning
2017_390079,Front-to-Front,Not an Intersection,Snow,Two-Way Undivided,35 MPH,Straight,No Controls,Going Straight
2017_390079,Front-to-Front,Not an Intersection,Snow,Two-Way Undivided,35 MPH,Straight,No Controls,Going Straight
2017_390084,Angle,Four-Way Intersection,Cloudy,Two-Way Undivided,25 MPH,Straight,Traffic control signal,Going Straight
2017_390091,Angle,Four-Way Intersection,Clear,Two-Way Undivided,45 MPH,Straight,Traffic control signal,Going Straight
2017_390094,Angle,Four-Way Intersection,Clear,One-Way Trafficway,35 MPH,Straight,Traffic control signal,Going Straight
2017_390103,Angle,T-Intersection,Cloudy,Two-Way Undivided,35 MPH,Straight,No Controls,Others
2017_390114,Front-to-Front,Not an Intersection,Cloudy,Two-Way Undivided,45 MPH,Straight,No Controls,Going Straight
2017_390119,Front-to-Front,T-Intersection,Clear,Two-Way Undivided,35 MPH,Straight,No Controls,Going Straight
2017_390122,Front-to-Front,Not an Intersection,Cloudy,Two-Way Undivided,35 MPH,Straight,No Controls,Going Straight
2017_390123,Angle,Not an Intersection,Clear,Two-Way Undivided,30 MPH,Straight,No Controls,Turning
2017_390126,Front-to-Front,Four-Way Intersection,Clear,Two-Way Undivided,35 MPH,Straight,No Controls,Going Straight
2017_390126,Front-to-Front,Four-Way Intersection,Clear,Two-Way Undivided,35 MPH,Straight,No Controls,Going Straight
2017_390127,Angle,Four-Way Intersection,Cloudy,Two-Way Undivided,35 MPH,Straight,Traffic control signal,Going Straight
2017_390128,Front-to-Front,Not an Intersection,Cloudy,Two-Way Undivided,45 MPH,Curve,No Controls,Negotiating a Curve
2017_390145,Front-to-Rear,Four-Way Intersection,Cloudy,Two-Way Divided,45 MPH,Straight,Traffic control signal,Going Straight
2017_390148,Angle,Four-Way Intersection,Clear,Two-Way Undivided,25 MPH,Straight,Traffic control signal,Turning
2017_390150,Angle,Four-Way Intersection,Clear,Two-Way Undivided,35 MPH,Straight,Traffic control signal,Going Straight
2017_390157,Front-to-Rear,Not an Intersection,Clear,Two-Way Undivided,45 MPH,Straight,No Controls,Going Straight
2017_390157,Front-to-Rear,Not an Intersection,Clear,Two-Way Undivided,45 MPH,Straight,No Controls,Accelerating/Decelerating
2017_390184,Front-to-Front,Not an Intersection,Cloudy,Two-Way Undivided,35 MPH,Straight,No Controls,Going Straight
2017_390195,Angle,T-Intersection,Rain,Two-Way Undivided,35 MPH,Curve,No Controls,Negotiating a Curve
2017_390219,Front-to-Rear,Not an Intersection,Clear,Two-Way Undivided,35 MPH,Straight,No Controls,Going Straight
2017_390221,Angle,Four-Way Intersection,Rain,Two-Way Undivided,35 MPH,Straight,Stop Sign,Others
2017_390221,Angle,Four-Way Intersection,Rain,Two-Way Undivided,35 MPH,Straight,Stop Sign,Others
2017_390221,Angle,Four-Way Intersection,Rain,Two-Way Undivided,35 MPH,Straight,Stop Sign,Accelerating/Decelerating
2017_390233,Angle,Four-Way Intersection,Clear,Two-Way Undivided,35 MPH,Straight,No Controls,Going Straight
2017_390240,Angle,Four-Way Intersection,Clear,Two-Way Undivided,35 MPH,Straight,Traffic control signal,Turning
2017_390246,Angle,Four-Way Intersection,Clear,Two-Way Undivided,35 MPH,Straight,Traffic control signal,Going Straight
2017_390253,Front-to-Rear,Four-Way Intersection,Rain,Two-Way Undivided,35 MPH,Straight,No Controls,Going Straight
2017_390259,Sideswipe,Not an Intersection,Clear,Two-Way Undivided,45 MPH,Curve,No Controls,Going Straight
2017_390259,Sideswipe,Not an Intersection,Clear,Two-Way Undivided,45 MPH,Curve,No Controls,Going Straight
2017_390262,Angle,Four-Way Intersection,Rain,Two-Way Undivided,45 MPH,Straight,Stop Sign,Going Straight
2017_390272,Angle,Four-Way Intersection,Clear,Two-Way Undivided,35 MPH,Straight,Traffic control signal,Going Straight
2017_390272,Angle,Four-Way Intersection,Clear,Two-Way Undivided,35 MPH,Straight,Traffic control signal,Going Straight
2017_390281,Front-to-Front,Not an Intersection,Cloudy,Two-Way Undivided,45 MPH,Straight,No Controls,Going Straight
2017_390291,Front-to-Front,T-Intersection,Rain,Two-Way Undivided,35 MPH,Straight,No Controls,Going Straight
2017_390298,Front-to-Front,Not an Intersection,Clear,Two-Way Undivided,45 MPH,Curve,No Controls,Negotiating a Curve
2017_390302,Front-to-Front,Not an Intersection,Clear,Two-Way Undivided,45 MPH,Straight,No Controls,Going Straight
2017_390315,Angle,T-Intersection,Clear,Two-Way Undivided,35 MPH,Straight,Traffic control signal,Going Straight
2017_390315,Angle,T-Intersection,Clear,Two-Way Undivided,35 MPH,Straight,Traffic control signal,Turning
2017_390318,Front-to-Front,Not an Intersection,Clear,Two-Way Undivided,45 MPH,Straight,No Controls,Going Straight
2017_390328,Sideswipe,Not an Intersection,Cloudy,Two-Way Undivided,45 MPH,Straight,No Controls,Others
2017_390328,Sideswipe,Not an Intersection,Cloudy,Two-Way Undivided,45 MPH,Straight,No Controls,Going Straight
2017_390332,Front-to-Front,Not an Intersection,Clear,Two-Way Undivided,40 MPH,Straight,No Controls,Going Straight
2017_390332,Front-to-Front,Not an Intersection,Clear,Two-Way Undivided,40 MPH,Straight,No Controls,Going Straight
2017_390350,Angle,Four-Way Intersection,Clear,Two-Way Divided,35 MPH,Straight,Traffic control signal,Others
2017_390351,Angle,Four-Way Intersection,Cloudy,Two-Way Undivided,45 MPH,Straight,Traffic control signal,Others
2017_390351,Angle,Four-Way Intersection,Cloudy,Two-Way Undivided,45 MPH,Straight,Traffic control signal,Going Straight
2017_390364,Angle,Four-Way Intersection,Cloudy,Two-Way Undivided,45 MPH,Straight,Stop Sign,Going Straight
2017_390385,Angle,Four-Way Intersection,Clear,Two-Way Undivided,25 MPH,Straight,Stop Sign,Going Straight
2017_390386,Front-to-Front,Not an Intersection,Clear,Two-Way Undivided,35 MPH,Straight,No Controls,Going Straight
2017_390386,Front-to-Front,Not an Intersection,Clear,Two-Way Undivided,35 MPH,Straight,No Controls,Going Straight
2017_390394,Angle,Four-Way Intersection,Cloudy,Two-Way Undivided,25 MPH,Straight,Traffic control signal,Changing Lanes/Overtaking
2017_390404,Angle,T-Intersection,Clear,Two-Way Divided,45 MPH,Straight,No Controls,Going Straight
2017_390408,Sideswipe,Four-Way Intersection,Rain,Two-Way Undivided,30 MPH,Straight,No Controls,Changing Lanes/Overtaking
2017_390414,Angle,Four-Way Intersection,Clear,Two-Way Undivided,45 MPH,Straight,Traffic control signal,Going Straight
2017_390475,Angle,Four-Way Intersection,Cloudy,Two-Way Undivided,35 MPH,Straight,Traffic control signal,Others
2017_390475,Angle,Four-Way Intersection,Cloudy,Two-Way Undivided,35 MPH,Straight,Traffic control signal,Going Straight
2017_390498,Angle,Four-Way Intersection,Cloudy,Two-Way Undivided,25 MPH,Straight,Stop Sign,Turning
2017_390511,Angle,Four-Way Intersection,Clear,Two-Way Undivided,45 MPH,Straight,No Controls,Going Straight
2017_390512,Angle,Four-Way Intersection,Cloudy,Two-Way Undivided,25 MPH,Curve,No Controls,Turning
2017_390530,Angle,T-Intersection,Clear,Two-Way Divided,30 MPH,Straight,Stop Sign,Turning
2017_390535,Angle,Four-Way Intersection,Clear,Two-Way Undivided,40 MPH,Straight,Traffic control signal,Going Straight
2017_390535,Angle,Four-Way Intersection,Clear,Two-Way Undivided,40 MPH,Straight,Traffic control signal,Going Straight
2017_390540,Angle,Four-Way Intersection,Clear,Two-Way Undivided,25 MPH,Straight,Stop Sign,Going Straight
2017_390578,Angle,Not an Intersection,Clear,Two-Way Undivided,35 MPH,Straight,No Controls,Turning
2017_390581,Front-to-Front,Not an Intersection,Clear,Two-Way Undivided,35 MPH,Straight,No Controls,Going Straight
2017_390582,Angle,T-Intersection,Clear,Two-Way Undivided,45 MPH,Straight,No Controls,Turning
2017_390585,Angle,Not an Intersection,Clear,Two-Way Undivided,45 MPH,Straight,No Controls,Turning
2017_390595,Angle,Four-Way Intersection,Clear,Two-Way Undivided,35 MPH,Straight,No Controls,Going Straight
2017_390603,Front-to-Front,Not an Intersection,Cloudy,Two-Way Undivided,40 MPH,Straight,No Controls,Going Straight
2017_390607,Angle,T-Intersection,Cloudy,Two-Way Undivided,35 MPH,Straight,Stop Sign,Turning
2017_390614,Front-to-Rear,T-Intersection,Clear,Two-Way Undivided,35 MPH,Straight,Stop Sign,Turning
2017_390628,Angle,Four-Way Intersection,Clear,Two-Way Undivided,40 MPH,Straight,No Controls,Turning
2017_390628,Angle,Four-Way Intersection,Clear,Two-Way Undivided,40 MPH,Straight,No Controls,Going Straight
2017_390638,Front-to-Front,Not an Intersection,Clear,Two-Way Undivided,25 MPH,Straight,No Controls,Going Straight
2017_390646,Angle,T-Intersection,Clear,Two-Way Undivided,45 MPH,Curve,Stop Sign,Turning
2017_390647,Front-to-Rear,Four-Way Intersection,Clear,Two-Way Undivided,35 MPH,Straight,No Controls,Going Straight
2017_390649,Front-to-Front,Four-Way Intersection,Clear,Two-Way Undivided,35 MPH,Straight,Traffic control signal,Turning
